Jahr, Einwohner
1900,499932
1925,680704
1933,735388
1950,831937
1961,1085014
1965,1214603
1972,1338924
1973,1336576
1974,1323434
1976,1314572
1977,1313939
1978,1296970
1979,1299693
1981,1291828
1982,1287080
1983,1283457
1984,1277369
1985,1281613
1986,1291396
1987,1253282
1988,1263187
1989,1268366
1990,1277576
1991,1303593
1992,1320634
1993,1326306
1994,1323624
1995,1324208
1996,1321557
1997,1307609
1998,1298537
1999,1315254
2000,1247934
2001,1260597
2002,1264309
2003,1267813
2004,1273186
2005,1288307
2006,1326206
2007,1351445
2008,1367314
2009,1364194
2010,1382273
2011,1410741
2012,1439474
2013,1464962
2014,1490681
2015,1521678
2016,1542860
